train_loss,val_loss
0.46870365625945165,-0.46025593630472816
-1.4694499719600058,-1.9803781108160814
-2.4196695902565586,-2.6857223733067515
-3.0420447203152126,-3.052026799460252
-3.5548707227861636,-3.5440370775063834
-3.9696013485339186,-3.9256827667156857
-4.348863124280377,-4.190271421591441
-4.6670162572322695,-4.295528676907222
-4.891557001809104,-4.537609897573789
-5.100891015366115,-4.8169613188107805
-5.314431854257893,-5.096189984321594
-5.53908144797899,-5.127886100212733
-5.685948892288503,-5.3004410339991255
-5.859398244904206,-5.529698703050613
-5.990446619393199,-5.522086037039757
-6.131143182604011,-5.794322115421295
-6.269982978214556,-5.686366187651952
-6.351168175355523,-5.976341739018758
-6.4679834287145495,-6.1237604861259465
-6.606780949412546,-6.13631312306722
-6.688664555486325,-6.154736766020457
-6.7881806153182085,-6.344558399359385
-6.905247234960573,-6.33572126754125
-7.003572918883467,-6.484365938186645
-7.0667500941521295,-6.5529251065254215
-7.148136165950854,-6.627644770622253
-7.245420260773999,-6.64371754805247
-7.319006806151354,-6.791823881467184
-7.399687918322628,-6.827992363293966
-7.398353113372066,-6.816645287195842
-7.496645785967509,-6.935790353775024
-7.572677012980863,-6.938477045059204
-7.618773574069538,-6.984902169863383
-7.698378735165329,-7.023146417617798
-7.744741859604827,-7.086886820157369
-7.790576135359682,-7.069231024106344
-7.839253521401622,-7.212809779485067
-7.885055021269132,-7.224675229390463
-7.942063327735855,-7.2409924894968665
-8.007775591003508,-7.392479157447815
-8.013740577796217,-7.386067407608032
-8.091497678953639,-7.460706974665324
-8.149261020235608,-7.554007607777914
-8.167615682382499,-7.53033417892456
-8.213464832699756,-7.476753986994425
-8.27363403610072,-7.69121607430776
-8.30437818999839,-7.522768789609273
-8.336133917636928,-7.6757116740544635
-8.377950593095965,-7.615665523211161
-8.423454951564823,-7.734862555185954
-8.445382599310186,-7.791427890459697
-8.481936402714709,-7.73497885576884
-8.521891953178564,-7.754122904141744
-8.537034771758899,-7.822701826095581
-8.578779046331535,-7.827542508443196
-8.59856803311711,-7.745181084632874
-8.624156932296303,-7.912643091201782
-8.665642292703499,-7.94752415561676
-8.696923209924613,-7.888179224014282
-8.676834296139292,-7.957637513796488
-8.749585070455321,-8.05701137415568
-8.772448631247237,-7.981993533770243
-8.792390182405095,-7.960227427164713
-8.816438465765444,-7.953874215443929
-8.873212519142129,-8.083441135088602
-8.890581361072957,-8.020586316108703
-8.911679432483549,-8.074061305046081
-8.952931312628552,-8.187771535873413
-8.970328719186924,-8.150254398345947
-8.986451689683582,-8.237607183138529
-9.019617092954022,-8.207050703048706
-9.034630049442471,-8.020394419670104
-9.048445071780224,-8.156435892422994
-9.061466812989002,-8.167891966819763
-9.099040195076867,-8.130381360054017
-9.093084284492651,-8.199706370035807
-9.456979571936053,-8.591454228083293
-9.50147507332771,-8.56124279499054
-9.544819427682938,-8.563993684132894
-9.588752537505114,-8.614924029668172
-9.608631896775732,-8.576681993166606
-9.658505425270327,-8.611337527275085
-9.671844739013716,-8.682083419164021
-9.690037897948319,-8.691561361630757
-9.713266380023112,-8.631203696568807
-9.73166861694471,-8.727077942530315
-9.758698924523188,-8.69194866625468
-9.758171915656346,-8.715506951967875
-9.77198339799864,-8.722607159932455
-9.787652500625205,-8.742808672904967
-9.8088252357888,-8.72574344476064
-9.835153025343002,-8.711065128644307
-9.824894510539233,-8.711592290242512
-9.831046107216219,-8.748211639404296
-9.854095491026706,-8.804269299189249
-9.86432301192157,-8.762683198610942
-9.817109350300116,-8.712433752059937
-9.878808469294095,-8.816966993649801
-9.901623475741497,-8.804028339703878
-9.900210018411148,-8.830965140024821
-9.917249836795097,-8.809782985051474
-9.928884126556307,-8.839799772898356
-9.947651634047517,-8.836589288711547
-9.960089587602644,-8.869188026110331
